sleep_hours,study_hours,mobile_usage_hours,tv_hours,exercise_hours,extracurricular_hrs,friends_time_hrs,family_time_hrs,attendance_pct,stress_level,gender,exam_score
7.37,4.11,3.73,2.93,0.17,1.25,1.49,1.43,67.2,8,Female,51.16
5.75,4.05,4.67,2.96,2.21,0.67,2.45,2.1,62.9,6,Female,49.6
7.9,3.46,1.59,2.75,1.45,1.2,1.15,2.11,82.0,9,Female,57.36
8.13,5.14,3.13,2.44,1.02,1.03,1.78,2.13,79.8,2,Female,76.7
4.66,4.85,4.58,2.41,1.3,2.17,2.26,2.3,51.3,1,Female,58.57
5.44,2.11,3.59,2.28,2.33,1.17,2.08,1.07,62.4,3,Female,48.09
7.15,2.02,5.41,2.41,2.08,0.23,3.23,3.36,81.1,1,Female,57.41
6.62,5.14,1.45,2.48,1.4,1.55,1.76,1.82,77.1,9,Female,64.4
6.98,3.28,1.3,0.6,0.59,2.45,0.03,2.27,73.2,6,Male,68.19
5.98,4.95,4.5,1.21,0.65,2.04,0.81,1.41,85.3,5,Female,67.48
8.06,5.67,4.63,0.97,2.1,0.43,2.48,2.28,60.7,5,Male,61.66
7.93,2.59,3.25,3.11,0.48,1.01,1.91,3.87,70.9,1,Male,62.22
7.08,2.38,4.02,3.65,1.41,1.18,1.26,1.11,84.2,7,Male,51.98
8.35,7.01,4.47,0.0,3.64,1.19,4.46,1.0,70.2,10,Female,76.03
7.56,5.03,2.44,3.56,1.87,1.47,3.33,1.22,81.8,2,Male,71.67
5.97,3.87,2.58,2.09,2.09,0.96,2.44,1.7,64.2,3,Female,64.06
7.44,3.1,3.75,3.01,0.65,0.56,2.73,1.53,68.1,8,Female,47.32
5.85,3.73,4.68,2.51,0.52,1.87,2.23,1.06,56.6,8,Male,46.58
8.05,2.71,1.98,3.44,2.14,0.41,1.25,1.96,53.3,3,Female,54.52
6.94,5.83,3.24,2.21,1.27,0.64,3.53,3.41,72.3,1,Male,69.76
6.78,3.33,3.18,0.64,2.44,0.41,3.35,1.87,83.4,8,Female,59.49
6.18,6.14,4.04,1.89,1.61,1.63,0.52,1.91,76.6,3,Female,72.98
8.47,3.9,3.49,2.52,4.35,1.27,2.73,2.31,91.9,9,Male,60.93
6.81,2.93,2.79,1.78,1.12,1.82,2.84,2.58,73.3,4,Male,60.57
6.49,3.86,5.12,2.66,1.81,0.65,2.18,3.24,52.6,10,Male,37.04
6.58,0.56,2.8,1.93,0.86,0.32,4.6,2.22,82.1,9,Female,36.33
7.64,4.32,3.12,1.4,2.41,0.89,4.49,2.0,65.1,1,Female,63.8
7.44,4.24,1.43,0.91,1.93,1.07,2.12,1.11,79.5,8,Male,67.99
